StationID,Month,Year,temp_mean,temp_median,temp_min,temp_max,Dewpoin_mean,Dewpoin_median,Dewpoin_min,Dewpoin_max,RelativeHumidity_mean,RelativeHumidity_median,RelativeHumidity_min,RelativeHumidity_max,SolarRadiation_mean,SolarRadiation_median,SolarRadiation_min,SolarRadiation_max,Rainfall_mean,Rainfall_median,Rainfall_min,Rainfall_max,WindSpeed_mean,WindSpeed_median,WindSpeed_min,WindSpeed_max,WindGust_mean,WindGust_median,WindGust_min,WindGust_max
8652,10,2014,11.512562620423878,11.83,-1.06,23.11,,,,,81.44662813102128,85.1,33.8,100.0,109.11946050096338,0.0,0,814,0.10815799614643544,0.0,0.0,6.096,0.7471676300578023,0.0,0.0,5.36,2.739884393063584,2.0,0,10
8652,8,2014,20.405470430107542,20.5,6.5,31.17,,,,,79.49596774193552,86.4,34.8,100.0,238.5188172043011,50.0,0,987,0.05598924731182796,0.0,0.0,7.112,0.18268817204301088,0.0,0.0,2.68,1.2970430107526882,1.0,0,6
9106,8,2014,19.09337365591398,19.11,8.5,29.72,15.071653225806447,15.44,7.72,21.67,79.83823924731188,84.9,39.4,100.0,,,,,0.07269360269360269,0.0,0.0,15.24,0.2966465053763414,0.0,0.0,3.13,1.3380376344086022,1.0,0,8
8654,10,2014,12.740993288590605,12.56,-1.11,25.06,5.389651006711409,4.78,-5.33,17.89,65.43959731543623,64.7,25.4,100.0,146.18523489932886,0.0,0,797,0.12887516778523495,0.0,0.0,19.304,0.7863087248322136,0.45,0.0,4.47,2.5288590604026844,2.0,0,10
8653,8,2014,22.647432795698908,22.33,9.11,34.83,19.057896505376366,19.22,8.39,26.33,82.01384408602154,86.9,37.7,100.0,187.38037634408602,32.0,0,1082,0.016557795698924734,0.0,0.0,6.096,0.10491935483870986,0.0,0.0,5.36,0.6754032258064516,0.0,0,7
8647,6,2014,21.589920903954823,21.22,10.72,30.5,,,,,74.646440677966,79.5,13.8,100.0,261.94444444444446,89.0,0,1146,0.10045197740112995,0.0,0.0,11.176,2.3607344632768443,1.79,0.0,8.05,3.9717514124293785,4.0,0,13
8648,9,2014,15.503247566063987,15.17,1.11,29.0,,,,,79.0337039610841,86.7,27.5,100.0,320.5344827586207,255.0,6,991,0.07572341904100076,0.0,0.0,23.114,0.3613412091730347,0.0,0.0,2.68,1.5392633773453788,1.0,0,7
8659,9,2014,23.12009735744092,22.78,13.67,36.11,19.37836578581365,19.78,10.83,24.83,81.87616400277962,88.1,36.8,100.0,166.03405142460042,4.0,0,1003,,,,,0.489020152883946,0.45,0.0,3.13,1.822098679638638,2.0,0,6
9085,6,2014,21.55390277777775,20.94,8.39,31.56,15.922951388888894,17.06,-0.33,27.94,73.90277777777776,77.9,19.0,100.0,236.98611111111111,60.0,0,1165,0.15239999999999992,0.0,0.0,21.336,1.7420763888888755,1.34,0.0,8.49,3.540277777777778,3.0,0,18
9106,9,2014,16.2120972222222,16.22,1.39,30.78,12.00413194444444,11.72,1.39,21.72,79.13736111111106,83.6,33.9,100.0,,,,,0.04321527777777777,0.0,0.0,19.558,0.30650694444444276,0.0,0.0,3.13,1.3493055555555555,1.0,0,8
9084,5,2014,21.561830357142846,21.4,10.0,31.3,13.834151785714283,16.2,0.3,20.1,65.54642857142862,68.4,19.0,100.0,254.44866071428572,95.0,0,1109,0.028348214285714286,0.0,0.0,10.16,3.3347991071428496,3.58,0.0,10.73,6.28125,6.0,0,18
8654,5,2014,23.27371257485032,22.78,13.0,32.5,15.110518962075858,15.94,3.94,19.67,64.28502994011976,62.9,20.9,98.7,292.5129740518962,122.0,0,1147,0.0846666666666667,0.0,0.0,9.144,1.3904790419161666,1.34,0.0,4.92,3.3912175648702596,3.0,0,9
8659,5,2014,22.5104637096774,22.06,10.56,34.17,14.683037634408624,15.44,3.06,21.61,65.37090053763443,67.4,19.0,100.0,280.0248655913978,72.0,0,1170,,,,,1.2305645161290357,0.89,0.0,4.92,2.9919354838709675,3.0,0,8
8653,5,2014,19.266883645240046,20.06,2.83,32.22,11.969072416598863,12.28,-0.72,21.72,67.2755899104963,70.5,18.2,100.0,247.15810920945395,64.0,0,1077,0.10436940602115544,0.0,0.0,42.418,2.7799349064279646,2.24,0.0,10.73,4.554109031733116,4.0,0,18
