TIMESTAMP        spur-RQ          spur-RD          spur-WR          
1519691656 7086 0 0
1519691666 7086 0 0
1519691677 7088 0 0
1519691687 7088 0 0
1519691697 7088 0 0
1519691707 7088 0 0
1519691718 7088 0 0
1519691728 7088 0 0
1519691739 7088 0 0
1519691749 7090 0 0
1519691759 7090 0 0
1519691769 7090 0 0
1519691780 7090 0 0
1519691790 7090 0 0
1519691800 7090 0 0
1519691810 7090 0 0
1519691821 7092 0 0
1519691831 7092 0 0
1519691841 7092 0 0
1519691851 7092 0 0
1519691861 7092 0 0
1519691872 7092 0 0
1519691882 7092 0 0
1519691892 7092 0 0
1519691902 7094 0 0
1519691912 7094 0 0
1519691922 7094 0 0
1519691932 7094 0 0
1519691943 7094 0 0
1519691953 7094 0 0
1519691963 7094 0 0
1519691973 7096 0 0
1519691983 7096 0 0
1519691993 7096 0 0
1519692004 7096 0 0
1519692014 7096 0 0
1519692024 7096 0 0
1519692034 7096 0 0
1519692044 7098 0 0
1519692054 7098 0 0
1519692065 7098 0 0
1519692075 7098 0 0
1519692085 7098 0 0
1519692095 7098 0 0
1519692105 7098 0 0
1519692115 7098 0 0
1519692125 7100 0 0
1519692136 7100 0 0
1519692146 7100 0 0
1519692156 7100 0 0
1519692166 7100 0 0
1519692176 7100 0 0
1519692186 7100 0 0
1519692197 7102 0 0
1519692207 7102 0 0
1519692217 7102 0 0
1519692227 7102 0 0
1519692237 7102 0 0
1519692247 7102 0 0
1519692257 7102 0 0
1519692268 7102 0 0
1519692278 7104 0 0
1519692288 7104 0 0
1519692298 7104 0 0
1519692308 7104 0 0
1519692318 7104 0 0
1519692328 7104 0 0
1519692339 7104 0 0
1519692349 7106 0 0
1519692359 7106 0 0
1519692369 7106 0 0
1519692379 7106 0 0
1519692389 7106 0 0
1519692400 7106 0 0
1519692410 7106 0 0
1519692420 7108 0 0
1519692430 7108 0 0
1519692440 7108 0 0
1519692450 7108 0 0
1519692460 7108 0 0
1519692471 7108 0 0
1519692481 7108 0 0
1519692491 7108 0 0
1519692501 7110 0 0
1519692511 7110 0 0
1519692521 7110 0 0
1519692531 7110 0 0
1519692542 7110 0 0
1519692552 7110 0 0
1519692562 7110 0 0
1519692572 7112 0 0
1519692582 7112 0 0
1519692593 7112 0 0
1519692603 7112 0 0
1519692613 7112 0 0
1519692623 7112 0 0
1519692633 7112 0 0
1519692643 7114 0 0
1519692654 7114 0 0
1519692664 7114 0 0
1519692674 7114 0 0
1519692684 7114 0 0
1519692694 7114 0 0
1519692704 7114 0 0
1519692715 7114 0 0
1519692725 7116 0 0
1519692735 7116 0 0
1519692745 7116 0 0
1519692755 7116 0 0
1519692765 7116 0 0
1519692775 7116 0 0
1519692786 7116 0 0
1519692796 7118 0 0
1519692806 7118 0 0
1519692816 7118 0 0
1519692827 7118 0 0
1519692837 7118 0 0
1519692847 7118 0 0
1519692857 7118 0 0
1519692867 7118 0 0
1519692877 7120 0 0
1519692888 7120 0 0
1519692898 7120 0 0
1519692908 7120 0 0
1519692918 7120 0 0
1519692928 7120 0 0
1519692938 7120 0 0
1519692948 7122 0 0
1519692959 7122 0 0
1519692969 7122 0 0
1519692979 7122 0 0
1519692989 7122 0 0
1519692999 7122 0 0
1519693009 7122 0 0
1519693019 7124 0 0
1519693030 7124 0 0
1519693040 7124 0 0
1519693050 7124 0 0
1519693060 7124 0 0
1519693070 7124 0 0
1519693080 7124 0 0
1519693091 7124 0 0
1519693101 7126 0 0
1519693111 7126 0 0
1519693121 7126 0 0
1519693131 7126 0 0
1519693141 7126 0 0
1519693151 7126 0 0
1519693162 7126 0 0
1519693172 7128 0 0
1519693182 7128 0 0
1519693192 7128 0 0
1519693202 7128 0 0
1519693212 7128 0 0
1519693223 7128 0 0
1519693233 7128 0 0
1519693243 7128 0 0
1519693253 7130 0 0
1519693263 7130 0 0
1519693273 7130 0 0
1519693283 7130 0 0
1519693294 7130 0 0
1519693304 7130 0 0
1519693314 7130 0 0
1519693324 7132 0 0
1519693334 7132 0 0
1519693344 7132 0 0
1519693355 7132 0 0
1519693365 7132 0 0
1519693375 7132 0 0
1519693385 7132 0 0
1519693395 7134 0 0
1519693406 7134 0 0
1519693416 7134 0 0
1519693426 7134 0 0
1519693436 7134 0 0
1519693446 7134 0 0
1519693456 7134 0 0
1519693467 7134 0 0
1519693477 7136 0 0
1519693487 7136 0 0
1519693498 7136 0 0
1519693508 7136 0 0
1519693518 7136 0 0
1519693528 7136 0 0
1519693538 7136 0 0
1519693548 7138 0 0
1519693558 7138 0 0
1519693569 7138 0 0
1519693579 7138 0 0
1519693589 7138 0 0
1519693599 7138 0 0
1519693609 7138 0 0
1519693619 7140 0 0
1519693630 7140 0 0
1519693640 7140 0 0
1519693650 7140 0 0
1519693660 7140 0 0
1519693670 7140 0 0
1519693680 7140 0 0
1519693690 7140 0 0
1519693701 7142 0 0
1519693711 7142 0 0
1519693721 7142 0 0
1519693731 7142 0 0
1519693741 7142 0 0
1519693751 7142 0 0
1519693762 7142 0 0
1519693772 7144 0 0
1519693782 7144 0 0
1519693792 7144 0 0
1519693802 7144 0 0
1519693812 7144 0 0
1519693822 7144 0 0
1519693833 7144 0 0
1519693843 7144 0 0
1519693853 7146 0 0
1519693863 7146 0 0
1519693873 7146 0 0
1519693883 7146 0 0
1519693893 7146 0 0
1519693904 7146 0 0
1519693914 7146 0 0
1519693924 7148 0 0
1519693934 7148 0 0
1519693944 7148 0 0
