#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1519689092        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689103        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689113        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689123        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689133        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689143        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689154        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689164        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689174        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689184        21.959500         20.311300         21.209600         19.608200         0.000000          163.272000        21.209600        
1519689194        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689204        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689215        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689225        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689235        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689245        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689256        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689266        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689276        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689286        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689297        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689307        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689317        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689327        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689337        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689347        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689357        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689368        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689378        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689388        21.959500         20.311300         21.209600         19.608200         0.000000          163.272000        21.209600        
1519689398        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689408        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689418        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689429        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689439        21.959500         20.311300         21.209600         19.608200         0.000000          163.279000        21.209600        
1519689449        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689459        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689469        21.959500         20.311300         21.209600         19.608200         0.000000          163.277000        21.209600        
1519689480        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689490        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689500        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689510        21.959500         20.311300         21.209600         19.608200         0.000000          163.273000        21.209600        
1519689520        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689530        21.959500         20.311300         21.209600         19.608200         0.000000          163.277000        21.209600        
1519689540        21.959500         20.311300         21.209600         19.608200         0.000000          163.272000        21.209600        
1519689551        21.959500         20.311300         21.209600         19.608200         0.000000          163.269000        21.209600        
1519689561        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689571        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689581        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689591        21.959500         20.793800         21.209600         20.090300         0.000000          162.783000        21.209600        
1519689601        21.959500         21.253700         21.209600         19.868100         0.000000          163.010000        21.209600        
1519689611        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689622        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689632        21.959500         17.034700         21.209600         16.331600         0.000000          166.560000        21.209600        
1519689642        21.959500         17.034700         21.209600         16.331600         0.000000          166.559000        21.209600        
1519689652        21.959500         17.034700         21.209600         16.331600         0.000000          166.559000        21.209600        
1519689662        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689672        21.959500         17.034700         21.209600         16.331600         0.000000          166.559000        21.209600        
1519689683        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689693        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689703        21.959500         17.034700         21.209600         16.331600         0.000000          166.557000        21.209600        
1519689713        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689723        21.959500         17.034700         21.209600         16.331600         0.000000          166.559000        21.209600        
1519689733        21.959500         17.034700         21.209600         16.331600         0.000000          166.559000        21.209600        
1519689743        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689754        21.959500         17.034700         21.209600         16.331600         0.000000          166.555000        21.209600        
1519689764        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689774        21.959500         17.034700         21.209600         16.331600         0.000000          166.557000        21.209600        
